Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
  (5023) Agapenor          1985 TG3    L4    4.892   5.440  10.48  20201217  326.04   86.5  308.3   11.8  0.053   5.166    27     MPO593173
  (5025)                   1986 TS6    L4    4.799   5.590  10.42  20201217  304.50   73.6  347.8   11.0  0.076   5.195    27     MPO593173
  (5027) Androgeos         1988 BX1    L4    4.950   5.653   9.77  20201217  300.51  344.8   78.2   31.4  0.066   5.302    30     MPO593173
  (5028) Halaesus          1988 BY1    L4    4.570   5.952  10.28  20201217  314.08   11.6   44.0   21.5  0.131   5.261    30     MPO593174
  (5041) Theotes           1973 SW1    L4    5.011   5.373  10.83  20201217  257.33  105.0   29.9   10.6  0.035   5.192    30     MPO593174
  (5119)                   1988 RA1    L5    4.630   5.768  10.35  20201217  278.23   16.6  317.0   16.0  0.109   5.199    31     MPO593175
  (5120) Bitias            1988 TZ1    L5    4.680   5.859  10.32  20201217  279.54   23.8  295.9   25.0  0.112   5.269    30     MPO593175
  (5123)                   1989 BL     L4    4.695   5.765  10.13  20201217  255.94   31.9   78.2    8.5  0.102   5.230    30     MPO593175
  (5126) Achaemenides      1989 CH2    L4    5.110   5.377  10.62  20201217  264.64  350.9  116.5   29.9  0.025   5.244    28     MPO593175
  (5130) Ilioneus          1989 SC7    L5    5.141   5.262   9.86  20201217  239.40  103.1  242.5   15.7  0.012   5.202    27     MPO593175
  (5144) Achates           1991 XX     L5    3.771   6.610   9.10  20201217  298.52  331.6  322.8    8.9  0.273   5.191    36     MPO593176
  (5209)                   1989 CW1    L4    4.937   5.461  10.34  20201217  332.57  104.5  322.7    9.0  0.050   5.199    27     MPO593177
  (5233)                   1988 RL10   L5    4.912   5.380  11.54  20201217   60.65   46.3  142.5    3.4  0.045   5.146    27     MPO593177
  (5244) Amphilochos       1973 SQ1    L4    5.027   5.327  10.58  20201217   40.59  127.0  213.3    6.2  0.029   5.177    30     MPO593177
  (5254) Ulysses           1986 VG1    L4    4.587   5.869   9.30  20201217  303.67  343.7   76.0   24.2  0.123   5.228    29     MPO593178
  (5257)                   1988 RS10   L5    4.993   5.328  11.94  20201217   24.12   89.3  127.0    2.9  0.033   5.160    29     MPO593178
  (5258)                   1989 AU1    L4    4.772   5.569  10.33  20201217  240.74  229.6  248.1    5.9  0.077   5.171    28     MPO593178
  (5259) Epeigeus          1989 BB1    L4    4.827   5.586  10.43  20201217  109.18  201.1   67.5   15.9  0.073   5.206    30     MPO593178
  (5264) Telephus          1991 KC     L4    4.629   5.789   9.52  20201217  250.72  359.2  121.9   33.6  0.111   5.209    28     MPO593178
  (5283) Pyrrhus           1989 BW     L4    4.417   5.978   9.76  20201217  302.72  356.5   71.1   17.5  0.150   5.197    28     MPO593178
  (5284) Orsilocus         1989 CK2    L4    4.786   5.664  10.19  20201217  286.56  343.1  102.7   20.2  0.084   5.225    26     MPO593178
  (5285) Krethon           1989 EO11   L4    4.922   5.442  10.18  20201217  357.42  256.6  144.3   25.2  0.050   5.182    28     MPO593178
  (5436) Eumelos           1990 DK     L4    4.799   5.605  10.52  20201217  257.86  220.7  254.0    7.4  0.077   5.202    27     MPO593181
  (5476)                   1989 TO11   L5    4.730   5.490  10.70  20201217  320.81   95.3  198.6   13.7  0.074   5.110    31     MPO593182
  (5511) Cloanthus         1988 TH1    L5    4.628   5.861  10.35  20201217  322.66  121.4  172.7   11.2  0.118   5.244    30     MPO593182
  (5637) Gyas              1988 RF1    L5    4.550   5.776  11.56  20201217  296.07  331.2    2.0   22.4  0.119   5.163    28     MPO593184
  (5638) Deikoon           1988 TA3    L5    4.679   5.803  10.54  20201217  341.62   92.7  156.0   10.9  0.107   5.241    31     MPO593184
  (5648)                   1990 VU1    L5    4.290   6.004   9.84  20201217  262.51  268.8   71.0   22.7  0.167   5.147    27     MPO593185
  (5652) Amphimachus       1992 HS3    L4    4.809   5.611  10.23  20201217  345.33  108.4  281.6    1.9  0.077   5.210    29     MPO593185
  (5907)                   1989 TU5    L5    4.638   5.648  11.14  20201217    1.14  141.5  107.8    1.9  0.098   5.143    28     MPO593189
  (6002)                   1988 RO     L5    4.748   5.704  10.66  20201217  246.62  158.7  209.7   15.6  0.091   5.226    34     MPO593191
  (6090)                   1989 DJ     L4    4.994   5.614   9.57  20201217  317.31   73.6  328.5   20.2  0.058   5.304    32     MPO593192
  (6443)                   1988 RH12   L5    4.581   5.903  12.11  20201217  236.69  199.5  168.2    9.5  0.126   5.242    26     MPO593199
  (6545)                   1986 TR6    L4    4.889   5.419  10.23  20201217  326.28  147.9  278.0   12.0  0.051   5.154    30     MPO593201
  (6997) Laomedon          3104 T-3    L5    4.647   5.703  10.60  20201217  354.85   58.3  195.3   19.1  0.102   5.175    27     MPO593209
